time,LP1,LP2,LP3,LP4,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,temp
916,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
922,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
927,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
932,4065,4055,4065,4065,0,-63,0,-50,-8,-63,-1
937,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
942,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
948,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
952,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
957,4065,4055,4064,4066,0,0,0,-50,-8,-63,-1
962,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
968,4065,4054,4066,4067,0,0,0,-50,-8,-63,-1
972,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
977,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
983,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
988,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
992,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
998,4067,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1003,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1008,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1013,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1018,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1023,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1028,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1032,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1038,4066,4055,4066,4066,-63,0,0,-50,-8,-63,-1
1043,4066,4055,4066,4067,0,-63,0,-50,-8,-63,-1
1048,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
1052,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1057,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1063,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1068,4066,4055,4065,4065,-63,0,0,-50,-8,-63,-1
1073,4066,4055,4066,4066,-63,0,0,-50,-8,-63,-1
1078,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1083,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1088,4064,4055,4065,4066,0,0,0,-50,-8,-63,-1
1092,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1097,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1103,4066,4054,4066,4065,0,0,0,-50,-8,-63,-1
1108,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1112,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1117,4065,4054,4066,4065,0,0,0,-50,-8,-63,-1
1123,4065,4055,4065,4067,0,0,0,-50,-8,-63,-1
1128,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1132,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1138,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
1143,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1148,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1152,4065,4055,4064,4066,0,0,0,-50,-8,-63,-1
1157,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1163,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1168,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1172,4066,4055,4065,4067,-63,0,0,-50,-8,-63,-1
1178,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1183,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1188,4065,4055,4064,4066,0,0,0,-50,-8,-63,-1
1192,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1198,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1203,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1208,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1212,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1218,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1223,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1228,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1233,4066,4054,4066,4066,0,0,0,-50,-8,-63,-1
1238,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
1243,4064,4054,4066,4066,0,0,0,-50,-8,-63,-1
1248,4064,4055,4065,4066,0,0,0,-50,-8,-63,-1
1253,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1258,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1263,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1268,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
1273,4065,4054,4066,4066,0,0,0,-50,-8,-63,-1
1278,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1283,4064,4055,4065,4067,0,0,0,-50,-8,-63,-1
1288,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1293,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1299,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1304,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1308,4066,4054,4066,4065,0,0,0,-50,-8,-63,-1
1314,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1319,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1324,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1329,4065,4055,4065,4067,-63,0,0,-50,-8,-63,-1
1334,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1339,4066,4054,4066,4065,0,0,0,-50,-8,-63,-1
1344,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1349,4065,4055,4064,4066,0,0,0,-50,-8,-63,-1
1354,4066,4055,4065,4065,0,0,0,-50,-8,-63,-1
1359,4066,4055,4065,4065,-63,0,0,-50,-8,-63,-1
1364,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1369,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1374,4066,4054,4064,4066,0,0,0,-50,-8,-63,-1
1380,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
1384,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1389,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1394,4066,4055,4065,4065,0,0,-63,-50,-8,-63,-1
1400,4066,4055,4065,4066,0,0,-63,-50,-8,-63,-1
1404,4065,4054,4065,4067,0,0,0,-50,-8,-63,-1
1409,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1414,4066,4054,4066,4066,-63,0,0,-50,-8,-63,-1
1420,4065,4054,4065,4067,0,0,0,-50,-8,-63,-1
1424,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1429,4066,4054,4066,4067,0,0,0,-50,-8,-63,-1
1434,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
1440,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1444,4065,4055,4066,4065,0,0,-63,-50,-8,-63,-1
1449,4066,4055,4065,4065,-63,0,0,-50,-8,-63,-1
1454,4066,4055,4066,4066,-63,0,0,-50,-8,-63,-1
1460,4067,4054,4065,4066,0,0,0,-50,-8,-63,-1
1464,4065,4055,4065,4065,0,-63,0,-50,-8,-63,-1
1469,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1475,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
1480,4065,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1484,4065,4054,4065,4067,-63,0,0,-50,-8,-63,-1
1490,4065,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1495,4066,4055,4065,4066,-63,0,0,-50,-8,-63,-1
1500,4064,4054,4065,4066,0,0,0,-50,-8,-63,-1
1504,4066,4055,4066,4066,0,0,0,-50,-8,-63,-1
1510,4065,4055,4066,4066,0,-63,0,-50,-8,-63,-1
1515,4066,4055,4066,4066,0,-63,0,-50,-8,-63,-1
1520,4065,4054,4065,4066,0,0,0,-50,-8,-63,-1
1524,4066,4055,4065,4065,-63,0,0,-50,-8,-63,-1
1530,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
1535,4067,4054,4064,4066,0,0,0,-50,-8,-63,-1
1540,4065,4055,4065,4067,0,0,0,-50,-8,-63,-1
1545,4065,4055,4065,4067,0,0,0,-50,-8,-63,-1
1550,4065,4055,4066,4066,0,0,0,-50,-8,-63,-1
1555,4066,4054,4065,4066,0,0,0,-50,-8,-63,-1
1559,4065,4055,4065,4067,0,0,0,-50,-8,-63,-1
1564,4064,4055,4065,4065,0,0,-63,-50,-8,-63,-1
1569,4065,4054,4066,4066,0,0,0,-50,-8,-63,-1
1574,4065,4054,4065,4067,0,0,0,-50,-8,-63,-1
1580,4066,4054,4064,4066,-63,0,0,-50,-8,-63,-1
1584,4066,4054,4065,4066,-63,0,0,-50,-8,-63,-1
1589,4066,4055,4065,4066,0,0,0,-50,-8,-63,-1
1594,4066,4055,4064,4066,0,0,0,-50,-8,-63,-1
1599,4065,4055,4065,4066,0,0,0,-50,-8,-63,-1
1604,4065,4054,4065,4065,0,0,0,-50,-8,-63,-1
